date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2025-03-31,96.83000183105469,98.8499984741211,95.69999694824219,98.69999694824219,97.62039947509766,10554000,0.0,0.0,DIS
2025-04-01,98.31999969482422,98.58999633789062,96.83999633789062,97.68000030517578,96.61155700683594,8762700,0.0,0.0,DIS
2025-04-02,96.62000274658203,98.30999755859375,96.44999694824219,97.87999725341797,96.80937194824219,7959900,0.0,0.0,DIS
2025-04-03,94.51000213623047,94.77999877929688,88.61000061035156,88.83999633789062,87.86824798583984,19353400,0.0,0.0,DIS
2025-04-04,86.0,87.54000091552734,83.08000183105469,83.52999877929688,82.6163330078125,22580900,0.0,0.0,DIS
2025-04-07,80.98999786376953,86.62999725341797,80.0999984741211,83.30000305175781,82.38885498046875,20456000,0.0,0.0,DIS
2025-04-08,85.94999694824219,86.94999694824219,80.8499984741211,81.72000122070312,80.82613372802734,14845600,0.0,0.0,DIS
2025-04-09,81.29000091552734,92.25,81.19000244140625,91.44000244140625,90.43981170654297,24970900,0.0,0.0,DIS
2025-04-10,88.91999816894531,89.01000213623047,83.06999969482422,85.2300033569336,84.29774475097656,16377000,0.0,0.0,DIS
2025-04-11,85.11000061035156,85.66999816894531,83.3499984741211,84.88999938964844,83.96145629882812,10204400,0.0,0.0,DIS
2025-04-14,85.83000183105469,86.44999694824219,84.02999877929688,84.66000366210938,83.73397827148438,10841300,0.0,0.0,DIS
2025-04-15,84.75,85.9800033569336,84.5199966430664,85.01000213623047,84.08014678955078,7840500,0.0,0.0,DIS
2025-04-16,84.27999877929688,84.80000305175781,82.01000213623047,82.7699966430664,81.8646469116211,10144300,0.0,0.0,DIS
2025-04-17,83.37000274658203,85.77999877929688,83.36000061035156,84.80999755859375,83.88233184814453,14810900,0.0,0.0,DIS
2025-04-21,84.91000366210938,85.2300033569336,82.9800033569336,84.0,83.08119201660156,14166800,0.0,0.0,DIS
2025-04-22,85.01000213623047,86.55999755859375,84.5999984741211,86.08999633789062,85.14833068847656,9578500,0.0,0.0,DIS
2025-04-23,89.02999877929688,89.87000274658203,87.02999877929688,87.29000091552734,86.335205078125,12089100,0.0,0.0,DIS
2025-04-24,87.44999694824219,90.23999786376953,86.7699966430664,90.01000213623047,89.02545928955078,10310000,0.0,0.0,DIS
2025-04-25,90.06999969482422,90.33999633789062,89.06999969482422,90.27999877929688,89.2925033569336,7749600,0.0,0.0,DIS
2025-04-28,90.44999694824219,91.37000274658203,89.63999938964844,90.16000366210938,89.17382049560547,8491800,0.0,0.0,DIS
2025-04-29,89.83000183105469,91.66000366210938,89.76000213623047,91.16999816894531,90.17276000976562,6359900,0.0,0.0,DIS
2025-04-30,89.88999938964844,91.19000244140625,88.55999755859375,90.94999694824219,89.95516967773438,8474800,0.0,0.0,DIS
2025-05-01,91.2699966430664,91.61000061035156,90.36000061035156,90.80999755859375,89.81670379638672,7790600,0.0,0.0,DIS
2025-05-02,91.83999633789062,93.19000244140625,91.83999633789062,92.48999786376953,91.47832489013672,7594000,0.0,0.0,DIS
