date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,ticker
2025-03-31,563.5,578.7000122070312,553.2999877929688,576.3599853515625,574.5675048828125,21124700,0.0,0.0,META
2025-04-01,570.8400268554688,589.9099731445312,570.0,586.0,584.177490234375,12836600,0.0,0.0,META
2025-04-02,574.9099731445312,592.6599731445312,573.3599853515625,583.9299926757812,582.1139526367188,13470800,0.0,0.0,META
2025-04-03,546.219970703125,552.5599975585938,530.2999877929688,531.6199951171875,529.9666137695312,34777500,0.0,0.0,META
2025-04-04,506.6199951171875,518.0,494.20001220703125,504.7300109863281,503.1602478027344,38589800,0.0,0.0,META
2025-04-07,485.1000061035156,539.3699951171875,481.8999938964844,516.25,514.6444091796875,36606100,0.0,0.0,META
2025-04-08,543.25,547.4299926757812,502.8599853515625,510.45001220703125,508.86248779296875,28034200,0.0,0.0,META
2025-04-09,509.2699890136719,587.8900146484375,502.1099853515625,585.77001953125,583.9482421875,39216600,0.0,0.0,META
2025-04-10,575.489990234375,581.2999877929688,535.2999877929688,546.2899780273438,544.5910034179688,28173500,0.0,0.0,META
2025-04-11,535.510009765625,547.4000244140625,528.5900268554688,543.5700073242188,541.8795166015625,17642300,0.0,0.0,META
2025-04-14,556.1699829101562,557.77001953125,528.280029296875,531.47998046875,529.8270263671875,14130900,0.0,0.0,META
2025-04-15,532.1099853515625,537.9400024414062,517.5,521.52001953125,519.8980712890625,15558700,0.0,0.0,META
2025-04-16,508.510009765625,513.3699951171875,495.6300048828125,502.30999755859375,500.747802734375,18735100,0.0,0.0,META
2025-04-17,505.25,507.29998779296875,498.010009765625,501.4800109863281,499.9203796386719,14593500,0.0,0.0,META
2025-04-21,491.3299865722656,493.5,479.79998779296875,484.6600036621094,483.1526794433594,16166000,0.0,0.0,META
2025-04-22,491.8699951171875,506.8800048828125,486.3599853515625,500.2799987792969,498.72412109375,17399400,0.0,0.0,META
2025-04-23,528.530029296875,535.3400268554688,516.52001953125,520.27001953125,518.6519775390625,18173900,0.0,0.0,META
2025-04-24,518.72998046875,533.9000244140625,517.5,533.1500244140625,531.4918823242188,13910000,0.0,0.0,META
2025-04-25,546.7999877929688,549.8599853515625,536.25,547.27001953125,545.5679931640625,17098900,0.0,0.0,META
2025-04-28,555.6400146484375,558.489990234375,540.5900268554688,549.739990234375,548.0302734375,15179000,0.0,0.0,META
2025-04-29,546.0,556.5700073242188,544.1199951171875,554.4400024414062,552.7156372070312,11835000,0.0,0.0,META
2025-04-30,538.4000244140625,549.0999755859375,529.5,549.0,547.2926025390625,29244000,0.0,0.0,META
2025-05-01,592.0800170898438,592.9500122070312,570.5,572.2100219726562,570.430419921875,31159000,0.0,0.0,META
2025-05-02,583.4600219726562,604.3400268554688,578.3300170898438,597.02001953125,595.1632690429688,24739300,0.0,0.0,META
2025-05-05,591.219970703125,603.2100219726562,588.0499877929688,599.27001953125,597.40625,13887700,0.0,0.0,META
2025-05-06,592.530029296875,596.030029296875,586.5800170898438,587.3099975585938,585.4834594726562,10600700,0.0,0.0,META
2025-05-07,590.3599853515625,603.0800170898438,586.6699829101562,596.8099975585938,594.953857421875,13139100,0.0,0.0,META
2025-05-08,606.2899780273438,611.2999877929688,596.6199951171875,598.010009765625,596.1502075195312,14622800,0.0,0.0,META
2025-05-09,603.719970703125,606.969970703125,591.7100219726562,592.489990234375,590.6473999023438,10427300,0.0,0.0,META
2025-05-12,630.9199829101562,640.3900146484375,621.030029296875,639.4299926757812,637.4412841796875,21965100,0.0,0.0,META
2025-05-13,645.5399780273438,660.9199829101562,642.8300170898438,656.030029296875,653.98974609375,18570800,0.0,0.0,META
